timestamp,open,high,low,close,volume
2025-06-25 15:55:00,540.53,541.22,540.36,541.17,1347189
2025-06-25 16:00:00,541.15,542.1,540.87,541.47,596118
2025-06-25 16:05:00,541.46,541.5,541.1,541.15,131595
2025-06-25 16:10:00,541.16,541.35,541.13,541.28,64605
2025-06-25 16:15:00,541.3,541.42,541.23,541.35,1052733
2025-06-25 16:20:00,541.37,541.37,541.05,541.12,25107
2025-06-25 16:25:00,541.1,541.18,541.0,541.01,31666
2025-06-25 16:30:00,541.0,541.17,541.0,541.13,25271
2025-06-25 16:35:00,541.13,541.3,541.13,541.28,78727
2025-06-25 16:40:00,541.3,541.3,541.18,541.2,99979
2025-06-25 16:45:00,541.22,541.27,541.18,541.23,31568
2025-06-25 16:50:00,541.26,541.32,541.25,541.31,15981
2025-06-25 16:55:00,541.28,541.4,541.26,541.39,36661
2025-06-25 17:00:00,541.3202,541.58,541.3202,541.5702,46623
2025-06-25 17:05:00,541.58,541.71,541.52,541.53,29834
2025-06-25 17:10:00,541.53,541.53,541.4401,541.45,5781
2025-06-25 17:15:00,541.44,541.48,541.44,541.48,4130
2025-06-25 17:20:00,541.48,541.48,541.3,541.35,12252
2025-06-25 17:25:00,541.2902,541.2902,541.21,541.28,16001
2025-06-25 17:30:00,541.27,541.28,541.24,541.25,3070
2025-06-25 17:35:00,541.2499,541.25,541.24,541.2487,5084
2025-06-25 17:40:00,541.25,541.25,541.24,541.24,1321
2025-06-25 17:45:00,541.23,541.23,540.99,541.14,9800
2025-06-25 17:50:00,541.15,541.15,540.91,540.91,17374
2025-06-25 17:55:00,540.91,540.96,540.91,540.96,5717
2025-06-25 18:00:00,541.05,541.34,540.91,541.25,16542
2025-06-25 18:05:00,541.25,541.3,541.19,541.3,6041
2025-06-25 18:10:00,541.3,541.7,541.3,541.5,32793
2025-06-25 18:15:00,541.5,541.505,541.36,541.36,11476
2025-06-25 18:20:00,541.38,541.38,541.22,541.22,3821
2025-06-25 18:25:00,541.23,541.23,541.01,541.039,7093
2025-06-25 18:30:00,541.14,541.23,541.14,541.23,2194
2025-06-25 18:35:00,541.1,541.1,540.9308,540.9308,3404
2025-06-25 18:40:00,541.0,541.05,540.96,540.96,787
2025-06-25 18:45:00,540.95,541.0,540.94,541.0,6640
2025-06-25 18:50:00,541.0,541.0,541.0,541.0,207
2025-06-25 18:55:00,541.1,541.17,541.1,541.17,1089
2025-06-25 19:00:00,541.11,541.11,540.68,540.68,6499
2025-06-25 19:05:00,540.66,541.06,540.57,541.06,7370
2025-06-25 19:10:00,541.0601,541.21,541.0601,541.07,3454
2025-06-25 19:15:00,540.95,541.0116,540.85,541.0116,11262
2025-06-25 19:20:00,541.03,541.03,540.86,540.8701,3440
2025-06-25 19:25:00,540.9,540.97,540.5801,540.63,3189
2025-06-25 19:30:00,540.7702,540.82,540.63,540.63,3205
2025-06-25 19:35:00,540.85,540.91,540.85,540.91,800
2025-06-25 19:40:00,541.0,541.0001,541.0,541.0001,516
2025-06-25 19:45:00,541.02,541.05,540.99,541.04,880
2025-06-25 19:50:00,541.05,541.09,541.02,541.09,2977
2025-06-25 19:55:00,541.15,541.21,541.13,541.13,8197
2025-06-26 04:00:00,541.0,543.0,541.0,543.0,10095
2025-06-26 04:05:00,543.1,543.28,543.01,543.15,5738
2025-06-26 04:10:00,543.29,543.4,543.27,543.34,3798
2025-06-26 04:15:00,543.36,543.56,543.34,543.47,4805
2025-06-26 04:20:00,543.49,543.72,543.49,543.68,1810
2025-06-26 04:25:00,543.72,543.96,543.72,543.78,4990
2025-06-26 04:30:00,543.77,543.77,543.61,543.72,3837
2025-06-26 04:35:00,543.89,543.96,543.67,543.67,5851
2025-06-26 04:40:00,543.71,543.71,543.65,543.66,1889
2025-06-26 04:45:00,543.64,543.71,543.61,543.62,4263
2025-06-26 04:50:00,543.75,543.75,543.59,543.61,1400
2025-06-26 04:55:00,543.64,543.64,543.57,543.6,5105
2025-06-26 05:00:00,543.63,543.69,543.59,543.67,2179
2025-06-26 05:05:00,543.7,543.7,543.6,543.64,2681
2025-06-26 05:10:00,543.6,543.6,543.44,543.5,4020
2025-06-26 05:15:00,543.52,543.69,543.5,543.53,3300
2025-06-26 05:20:00,543.55,543.58,543.44,543.44,2510
